cond,theme,type
loss,Future,1
loss,Present,1
gain,Future,1
gain,Present,1
loss,Future,2
loss,Present,2
gain,Future,2
gain,Present,2
loss,Future,3
loss,Present,3
gain,Future,3
gain,Present,3
loss,Future,4
loss,Present,4
gain,Future,4
gain,Present,4
loss,Future,5
loss,Present,5
gain,Future,5
gain,Present,5
loss,Future,6
loss,Present,6
gain,Future,6
gain,Present,6
loss,Future,7
loss,Present,7
gain,Future,7
gain,Present,7
loss,Future,8
loss,Present,8
gain,Future,8
gain,Present,8
loss,Future,9
loss,Present,9
gain,Future,9
gain,Present,9
loss,Future,10
loss,Present,10
gain,Future,10
gain,Present,10
loss,Future,11
loss,Present,11
gain,Future,11
gain,Present,11
loss,Future,12
loss,Present,12
gain,Future,12
gain,Present,12
loss,Future,13
loss,Present,13
gain,Future,13
gain,Present,13
loss,Future,14
loss,Present,14
gain,Future,14
gain,Present,14
loss,Future,15
loss,Present,15
gain,Future,15
gain,Present,15
loss,Future,16
loss,Present,16
gain,Future,16
gain,Present,16
loss,Future,17
loss,Present,17
gain,Future,17
gain,Present,17
loss,Future,18
loss,Present,18
gain,Future,18
gain,Present,18
